scenario,metric,A,B,diff,status
Primary,Cramers_V_doku_anomalisi_var_rt,0.48145159146131705,0.48145159146131705,0.0,PASS
Primary,chi2_doku_anomalisi_var_rt,7.881051587301588,7.881051587301588,0.0,PASS
Primary,Cramers_V_gingivitis,0.25378742228960743,0.25378742228960743,0.0,PASS
Primary,chi2_gingivitis,2.1898738942217206,2.1898738942217206,0.0,PASS
Primary,Cramers_V_caries_any_rt,0.4923623004664704,0.4923623004664704,0.0,PASS
Primary,chi2_caries_any_rt,8.242301587301586,8.242301587301586,0.0,PASS
Primary,eps2_primary_caries_count,0.04522188990538825,0.04522188990538825,0.0,PASS
Primary,eps2_alt_caries_count,0.16095256991685636,0.16095256991685636,0.0,PASS
k=3,Cramers_V_doku_anomalisi_var_rt,0.48145159146131705,0.48145159146131705,0.0,PASS
k=3,chi2_doku_anomalisi_var_rt,7.881051587301588,7.881051587301588,0.0,PASS
k=3,Cramers_V_gingivitis,0.25378742228960743,0.25378742228960743,0.0,PASS
k=3,chi2_gingivitis,2.1898738942217206,2.1898738942217206,0.0,PASS
k=3,Cramers_V_caries_any_rt,0.4923623004664704,0.4923623004664704,0.0,PASS
k=3,chi2_caries_any_rt,8.242301587301586,8.242301587301586,0.0,PASS
k=3,eps2_primary_caries_count,0.04522188990538825,0.04522188990538825,0.0,PASS
k=3,eps2_alt_caries_count,0.16095256991685636,0.16095256991685636,0.0,PASS
k=4,Cramers_V_doku_anomalisi_var_rt,0.48145159146131705,0.48145159146131705,0.0,PASS
k=4,chi2_doku_anomalisi_var_rt,7.881051587301588,7.881051587301588,0.0,PASS
k=4,Cramers_V_gingivitis,0.25378742228960743,0.25378742228960743,0.0,PASS
k=4,chi2_gingivitis,2.1898738942217206,2.1898738942217206,0.0,PASS
k=4,Cramers_V_caries_any_rt,0.4923623004664704,0.4923623004664704,0.0,PASS
k=4,chi2_caries_any_rt,8.242301587301586,8.242301587301586,0.0,PASS
k=4,eps2_primary_caries_count,0.04522188990538825,0.04522188990538825,0.0,PASS
k=4,eps2_alt_caries_count,0.16095256991685636,0.16095256991685636,0.0,PASS
Primary,holm_perm_recompute_doku_anomalisi_var_rt,0.22169999999999998,0.22169999999999998,0.0,PASS
Primary,holm_perm_recompute_gingivitis,0.7666,0.7666,0.0,PASS
Primary,holm_perm_recompute_caries_any_rt,0.22169999999999998,0.22169999999999998,0.0,PASS
k=3,holm_perm_recompute_doku_anomalisi_var_rt,0.22169999999999998,0.22169999999999998,0.0,PASS
k=3,holm_perm_recompute_gingivitis,0.7666,0.7666,0.0,PASS
k=3,holm_perm_recompute_caries_any_rt,0.22169999999999998,0.22169999999999998,0.0,PASS
k=4,holm_perm_recompute_doku_anomalisi_var_rt,0.22169999999999998,0.22169999999999998,0.0,PASS
k=4,holm_perm_recompute_gingivitis,0.7666,0.7666,0.0,PASS
k=4,holm_perm_recompute_caries_any_rt,0.22169999999999998,0.22169999999999998,0.0,PASS
